SampleA	SampleB	Spearman
Control_1	Control_1	1
Control_2	Control_1	0.869
Control_3	Control_1	0.895
Control_4	Control_1	0.876
Control_5	Control_1	0.812
Control_6	Control_1	0.873
UNC13A_CE_1	Control_1	0.576
UNC13A_CE_2	Control_1	0.577
UNC13A_CE_3	Control_1	0.579
UNC13A_CE_4	Control_1	0.581
UNC13A_CE_5	Control_1	0.579
UNC13A_CE_6	Control_1	0.575
UNC13A_WT_1	Control_1	0.597
UNC13A_WT_2	Control_1	0.587
UNC13A_WT_3	Control_1	0.586
UNC13A_WT_4	Control_1	0.586
UNC13A_WT_5	Control_1	0.586
UNC13A_WT_6	Control_1	0.579
Control_1	Control_2	0.869
Control_2	Control_2	1
Control_3	Control_2	0.882
Control_4	Control_2	0.881
Control_5	Control_2	0.817
Control_6	Control_2	0.866
UNC13A_CE_1	Control_2	0.57
UNC13A_CE_2	Control_2	0.571
UNC13A_CE_3	Control_2	0.575
UNC13A_CE_4	Control_2	0.576
UNC13A_CE_5	Control_2	0.576
UNC13A_CE_6	Control_2	0.572
UNC13A_WT_1	Control_2	0.589
UNC13A_WT_2	Control_2	0.58
UNC13A_WT_3	Control_2	0.579
UNC13A_WT_4	Control_2	0.581
UNC13A_WT_5	Control_2	0.582
UNC13A_WT_6	Control_2	0.574
Control_1	Control_3	0.895
Control_2	Control_3	0.882
Control_3	Control_3	1
Control_4	Control_3	0.877
Control_5	Control_3	0.881
Control_6	Control_3	0.864
UNC13A_CE_1	Control_3	0.541
UNC13A_CE_2	Control_3	0.542
UNC13A_CE_3	Control_3	0.55
UNC13A_CE_4	Control_3	0.547
UNC13A_CE_5	Control_3	0.543
UNC13A_CE_6	Control_3	0.532
UNC13A_WT_1	Control_3	0.562
UNC13A_WT_2	Control_3	0.556
UNC13A_WT_3	Control_3	0.552
UNC13A_WT_4	Control_3	0.553
UNC13A_WT_5	Control_3	0.557
UNC13A_WT_6	Control_3	0.542
Control_1	Control_4	0.876
Control_2	Control_4	0.881
Control_3	Control_4	0.877
Control_4	Control_4	1
Control_5	Control_4	0.805
Control_6	Control_4	0.901
UNC13A_CE_1	Control_4	0.598
UNC13A_CE_2	Control_4	0.599
UNC13A_CE_3	Control_4	0.606
UNC13A_CE_4	Control_4	0.606
UNC13A_CE_5	Control_4	0.606
UNC13A_CE_6	Control_4	0.603
UNC13A_WT_1	Control_4	0.612
UNC13A_WT_2	Control_4	0.606
UNC13A_WT_3	Control_4	0.603
UNC13A_WT_4	Control_4	0.61
UNC13A_WT_5	Control_4	0.608
UNC13A_WT_6	Control_4	0.603
Control_1	Control_5	0.812
Control_2	Control_5	0.817
Control_3	Control_5	0.881
Control_4	Control_5	0.805
Control_5	Control_5	1
Control_6	Control_5	0.808
UNC13A_CE_1	Control_5	0.516
UNC13A_CE_2	Control_5	0.515
UNC13A_CE_3	Control_5	0.535
UNC13A_CE_4	Control_5	0.519
UNC13A_CE_5	Control_5	0.518
UNC13A_CE_6	Control_5	0.501
UNC13A_WT_1	Control_5	0.533
UNC13A_WT_2	Control_5	0.531
UNC13A_WT_3	Control_5	0.526
UNC13A_WT_4	Control_5	0.524
UNC13A_WT_5	Control_5	0.535
UNC13A_WT_6	Control_5	0.516
Control_1	Control_6	0.873
Control_2	Control_6	0.866
Control_3	Control_6	0.864
Control_4	Control_6	0.901
Control_5	Control_6	0.808
Control_6	Control_6	1
UNC13A_CE_1	Control_6	0.626
UNC13A_CE_2	Control_6	0.628
UNC13A_CE_3	Control_6	0.632
UNC13A_CE_4	Control_6	0.633
UNC13A_CE_5	Control_6	0.633
UNC13A_CE_6	Control_6	0.632
UNC13A_WT_1	Control_6	0.637
UNC13A_WT_2	Control_6	0.631
UNC13A_WT_3	Control_6	0.63
UNC13A_WT_4	Control_6	0.636
UNC13A_WT_5	Control_6	0.633
UNC13A_WT_6	Control_6	0.632
Control_1	UNC13A_CE_1	0.576
Control_2	UNC13A_CE_1	0.57
Control_3	UNC13A_CE_1	0.541
Control_4	UNC13A_CE_1	0.598
Control_5	UNC13A_CE_1	0.516
Control_6	UNC13A_CE_1	0.626
UNC13A_CE_1	UNC13A_CE_1	1
UNC13A_CE_2	UNC13A_CE_1	0.993
UNC13A_CE_3	UNC13A_CE_1	0.991
UNC13A_CE_4	UNC13A_CE_1	0.991
UNC13A_CE_5	UNC13A_CE_1	0.987
UNC13A_CE_6	UNC13A_CE_1	0.985
UNC13A_WT_1	UNC13A_CE_1	0.986
UNC13A_WT_2	UNC13A_CE_1	0.985
UNC13A_WT_3	UNC13A_CE_1	0.99
UNC13A_WT_4	UNC13A_CE_1	0.986
UNC13A_WT_5	UNC13A_CE_1	0.99
UNC13A_WT_6	UNC13A_CE_1	0.988
Control_1	UNC13A_CE_2	0.577
Control_2	UNC13A_CE_2	0.571
Control_3	UNC13A_CE_2	0.542
Control_4	UNC13A_CE_2	0.599
Control_5	UNC13A_CE_2	0.515
Control_6	UNC13A_CE_2	0.628
UNC13A_CE_1	UNC13A_CE_2	0.993
UNC13A_CE_2	UNC13A_CE_2	1
UNC13A_CE_3	UNC13A_CE_2	0.99
UNC13A_CE_4	UNC13A_CE_2	0.991
UNC13A_CE_5	UNC13A_CE_2	0.986
UNC13A_CE_6	UNC13A_CE_2	0.985
UNC13A_WT_1	UNC13A_CE_2	0.984
UNC13A_WT_2	UNC13A_CE_2	0.984
UNC13A_WT_3	UNC13A_CE_2	0.989
UNC13A_WT_4	UNC13A_CE_2	0.983
UNC13A_WT_5	UNC13A_CE_2	0.99
UNC13A_WT_6	UNC13A_CE_2	0.989
Control_1	UNC13A_CE_3	0.579
Control_2	UNC13A_CE_3	0.575
Control_3	UNC13A_CE_3	0.55
Control_4	UNC13A_CE_3	0.606
Control_5	UNC13A_CE_3	0.535
Control_6	UNC13A_CE_3	0.632
UNC13A_CE_1	UNC13A_CE_3	0.991
UNC13A_CE_2	UNC13A_CE_3	0.99
UNC13A_CE_3	UNC13A_CE_3	1
UNC13A_CE_4	UNC13A_CE_3	0.988
UNC13A_CE_5	UNC13A_CE_3	0.987
UNC13A_CE_6	UNC13A_CE_3	0.983
UNC13A_WT_1	UNC13A_CE_3	0.982
UNC13A_WT_2	UNC13A_CE_3	0.983
UNC13A_WT_3	UNC13A_CE_3	0.987
UNC13A_WT_4	UNC13A_CE_3	0.983
UNC13A_WT_5	UNC13A_CE_3	0.989
UNC13A_WT_6	UNC13A_CE_3	0.988
Control_1	UNC13A_CE_4	0.581
Control_2	UNC13A_CE_4	0.576
Control_3	UNC13A_CE_4	0.547
Control_4	UNC13A_CE_4	0.606
Control_5	UNC13A_CE_4	0.519
Control_6	UNC13A_CE_4	0.633
UNC13A_CE_1	UNC13A_CE_4	0.991
UNC13A_CE_2	UNC13A_CE_4	0.991
UNC13A_CE_3	UNC13A_CE_4	0.988
UNC13A_CE_4	UNC13A_CE_4	1
UNC13A_CE_5	UNC13A_CE_4	0.987
UNC13A_CE_6	UNC13A_CE_4	0.988
UNC13A_WT_1	UNC13A_CE_4	0.983
UNC13A_WT_2	UNC13A_CE_4	0.982
UNC13A_WT_3	UNC13A_CE_4	0.986
UNC13A_WT_4	UNC13A_CE_4	0.983
UNC13A_WT_5	UNC13A_CE_4	0.988
UNC13A_WT_6	UNC13A_CE_4	0.987
Control_1	UNC13A_CE_5	0.579
Control_2	UNC13A_CE_5	0.576
Control_3	UNC13A_CE_5	0.543
Control_4	UNC13A_CE_5	0.606
Control_5	UNC13A_CE_5	0.518
Control_6	UNC13A_CE_5	0.633
UNC13A_CE_1	UNC13A_CE_5	0.987
UNC13A_CE_2	UNC13A_CE_5	0.986
UNC13A_CE_3	UNC13A_CE_5	0.987
UNC13A_CE_4	UNC13A_CE_5	0.987
UNC13A_CE_5	UNC13A_CE_5	1
UNC13A_CE_6	UNC13A_CE_5	0.983
UNC13A_WT_1	UNC13A_CE_5	0.982
UNC13A_WT_2	UNC13A_CE_5	0.984
UNC13A_WT_3	UNC13A_CE_5	0.984
UNC13A_WT_4	UNC13A_CE_5	0.986
UNC13A_WT_5	UNC13A_CE_5	0.986
UNC13A_WT_6	UNC13A_CE_5	0.99
Control_1	UNC13A_CE_6	0.575
Control_2	UNC13A_CE_6	0.572
Control_3	UNC13A_CE_6	0.532
Control_4	UNC13A_CE_6	0.603
Control_5	UNC13A_CE_6	0.501
Control_6	UNC13A_CE_6	0.632
UNC13A_CE_1	UNC13A_CE_6	0.985
UNC13A_CE_2	UNC13A_CE_6	0.985
UNC13A_CE_3	UNC13A_CE_6	0.983
UNC13A_CE_4	UNC13A_CE_6	0.988
UNC13A_CE_5	UNC13A_CE_6	0.983
UNC13A_CE_6	UNC13A_CE_6	1
UNC13A_WT_1	UNC13A_CE_6	0.977
UNC13A_WT_2	UNC13A_CE_6	0.976
UNC13A_WT_3	UNC13A_CE_6	0.981
UNC13A_WT_4	UNC13A_CE_6	0.979
UNC13A_WT_5	UNC13A_CE_6	0.982
UNC13A_WT_6	UNC13A_CE_6	0.983
Control_1	UNC13A_WT_1	0.597
Control_2	UNC13A_WT_1	0.589
Control_3	UNC13A_WT_1	0.562
Control_4	UNC13A_WT_1	0.612
Control_5	UNC13A_WT_1	0.533
Control_6	UNC13A_WT_1	0.637
UNC13A_CE_1	UNC13A_WT_1	0.986
UNC13A_CE_2	UNC13A_WT_1	0.984
UNC13A_CE_3	UNC13A_WT_1	0.982
UNC13A_CE_4	UNC13A_WT_1	0.983
UNC13A_CE_5	UNC13A_WT_1	0.982
UNC13A_CE_6	UNC13A_WT_1	0.977
UNC13A_WT_1	UNC13A_WT_1	1
UNC13A_WT_2	UNC13A_WT_1	0.989
UNC13A_WT_3	UNC13A_WT_1	0.988
UNC13A_WT_4	UNC13A_WT_1	0.988
UNC13A_WT_5	UNC13A_WT_1	0.988
UNC13A_WT_6	UNC13A_WT_1	0.988
Control_1	UNC13A_WT_2	0.587
Control_2	UNC13A_WT_2	0.58
Control_3	UNC13A_WT_2	0.556
Control_4	UNC13A_WT_2	0.606
Control_5	UNC13A_WT_2	0.531
Control_6	UNC13A_WT_2	0.631
UNC13A_CE_1	UNC13A_WT_2	0.985
UNC13A_CE_2	UNC13A_WT_2	0.984
UNC13A_CE_3	UNC13A_WT_2	0.983
UNC13A_CE_4	UNC13A_WT_2	0.982
UNC13A_CE_5	UNC13A_WT_2	0.984
UNC13A_CE_6	UNC13A_WT_2	0.976
UNC13A_WT_1	UNC13A_WT_2	0.989
UNC13A_WT_2	UNC13A_WT_2	1
UNC13A_WT_3	UNC13A_WT_2	0.986
UNC13A_WT_4	UNC13A_WT_2	0.987
UNC13A_WT_5	UNC13A_WT_2	0.987
UNC13A_WT_6	UNC13A_WT_2	0.99
Control_1	UNC13A_WT_3	0.586
Control_2	UNC13A_WT_3	0.579
Control_3	UNC13A_WT_3	0.552
Control_4	UNC13A_WT_3	0.603
Control_5	UNC13A_WT_3	0.526
Control_6	UNC13A_WT_3	0.63
UNC13A_CE_1	UNC13A_WT_3	0.99
UNC13A_CE_2	UNC13A_WT_3	0.989
UNC13A_CE_3	UNC13A_WT_3	0.987
UNC13A_CE_4	UNC13A_WT_3	0.986
UNC13A_CE_5	UNC13A_WT_3	0.984
UNC13A_CE_6	UNC13A_WT_3	0.981
UNC13A_WT_1	UNC13A_WT_3	0.988
UNC13A_WT_2	UNC13A_WT_3	0.986
UNC13A_WT_3	UNC13A_WT_3	1
UNC13A_WT_4	UNC13A_WT_3	0.986
UNC13A_WT_5	UNC13A_WT_3	0.992
UNC13A_WT_6	UNC13A_WT_3	0.988
Control_1	UNC13A_WT_4	0.586
Control_2	UNC13A_WT_4	0.581
Control_3	UNC13A_WT_4	0.553
Control_4	UNC13A_WT_4	0.61
Control_5	UNC13A_WT_4	0.524
Control_6	UNC13A_WT_4	0.636
UNC13A_CE_1	UNC13A_WT_4	0.986
UNC13A_CE_2	UNC13A_WT_4	0.983
UNC13A_CE_3	UNC13A_WT_4	0.983
UNC13A_CE_4	UNC13A_WT_4	0.983
UNC13A_CE_5	UNC13A_WT_4	0.986
UNC13A_CE_6	UNC13A_WT_4	0.979
UNC13A_WT_1	UNC13A_WT_4	0.988
UNC13A_WT_2	UNC13A_WT_4	0.987
UNC13A_WT_3	UNC13A_WT_4	0.986
UNC13A_WT_4	UNC13A_WT_4	1
UNC13A_WT_5	UNC13A_WT_4	0.986
UNC13A_WT_6	UNC13A_WT_4	0.991
Control_1	UNC13A_WT_5	0.586
Control_2	UNC13A_WT_5	0.582
Control_3	UNC13A_WT_5	0.557
Control_4	UNC13A_WT_5	0.608
Control_5	UNC13A_WT_5	0.535
Control_6	UNC13A_WT_5	0.633
UNC13A_CE_1	UNC13A_WT_5	0.99
UNC13A_CE_2	UNC13A_WT_5	0.99
UNC13A_CE_3	UNC13A_WT_5	0.989
UNC13A_CE_4	UNC13A_WT_5	0.988
UNC13A_CE_5	UNC13A_WT_5	0.986
UNC13A_CE_6	UNC13A_WT_5	0.982
UNC13A_WT_1	UNC13A_WT_5	0.988
UNC13A_WT_2	UNC13A_WT_5	0.987
UNC13A_WT_3	UNC13A_WT_5	0.992
UNC13A_WT_4	UNC13A_WT_5	0.986
UNC13A_WT_5	UNC13A_WT_5	1
UNC13A_WT_6	UNC13A_WT_5	0.989
Control_1	UNC13A_WT_6	0.579
Control_2	UNC13A_WT_6	0.574
Control_3	UNC13A_WT_6	0.542
Control_4	UNC13A_WT_6	0.603
Control_5	UNC13A_WT_6	0.516
Control_6	UNC13A_WT_6	0.632
UNC13A_CE_1	UNC13A_WT_6	0.988
UNC13A_CE_2	UNC13A_WT_6	0.989
UNC13A_CE_3	UNC13A_WT_6	0.988
UNC13A_CE_4	UNC13A_WT_6	0.987
UNC13A_CE_5	UNC13A_WT_6	0.99
UNC13A_CE_6	UNC13A_WT_6	0.983
UNC13A_WT_1	UNC13A_WT_6	0.988
UNC13A_WT_2	UNC13A_WT_6	0.99
UNC13A_WT_3	UNC13A_WT_6	0.988
UNC13A_WT_4	UNC13A_WT_6	0.991
UNC13A_WT_5	UNC13A_WT_6	0.989
UNC13A_WT_6	UNC13A_WT_6	1
