sample_name,conDayition,control
Day28_1,Day28,Day0
Day28_2,Day28,Day0
Day28_3,Day28,Day0
Day28_4,Day28,Day0
Day28_5,Day28,Day0
Day28_6,Day28,Day0
Day03_1,Day03,Day0
Day03_2,Day03,Day0
Day03_3,Day03,Day0
Day03_4,Day03,Day0
Day03_5,Day03,Day0
Day03_6,Day03,Day0
Day07_1,Day07,Day0
Day07_2,Day07,Day0
Day07_3,Day07,Day0
Day07_4,Day07,Day0
Day07_5,Day07,Day0
Day07_6,Day07,Day0
Day10_1,Day10,Day0
Day10_2,Day10,Day0
Day10_3,Day10,Day0
Day10_4,Day10,Day0
Day10_5,Day10,Day0
Day10_6,Day10,Day0
Day14_1,Day14,Day0
Day14_2,Day14,Day0
Day14_3,Day14,Day0
Day14_4,Day14,Day0
Day14_5,Day14,Day0
Day14_6,Day14,Day0
Day21_1,Day21,Day0
Day21_2,Day21,Day0
Day21_3,Day21,Day0
Day21_4,Day21,Day0
Day21_5,Day21,Day0
Day21_6,Day21,Day0